Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
agnews,mmd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,101.5,27843.0,0.0,0.0,359.0,0.5,0.3333
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,80.0,32665.0,0.0,11.0,349.6667,0.5,0.0
agnews,padd,sliding,100,gradual,1.0,1.0,1.0,173.0,23609.0,0.0,11.0,349.6667,0.5,0.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,11.0,349.6667,0.5,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,126.5,28137.0,0.0,11.0,349.6667,0.5,0.3333
newsgroups,mmd,sliding,100,sudden,0.5,1.0,0.6667,109.0,33950.0,0.000878,9.5,356.0,0.5,1.0
newsgroups,mmd,sliding,100,gradual,0.5,1.0,0.6667,151.0,23914.0,0.000878,9.5,356.0,0.5,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000878,9.5,356.0,0.5,2.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,130.0,28932.0,0.000878,9.5,356.0,0.5,0.6667
newsgroups,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,mmd,sliding,100,sudden,0.3333,1.0,0.5,412.0,45793.0,0.001691,71.5,341.3333,0.5,2.0
newsgroups,mmd,sliding,100,gradual,0.3333,1.0,0.5,319.0,49712.0,0.001691,71.5,341.3333,0.5,2.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001691,71.5,341.3333,0.5,3.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,365.5,47752.5,0.001691,71.5,341.3333,0.5,1.0
newsgroups,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,mmd,sliding,100,sudden,0.5,1.0,0.6667,139.0,30282.0,0.000856,0.0,390.6667,0.5,1.0
newsgroups,mmd,sliding,100,gradual,0.5,1.0,0.6667,28.0,7169.0,0.000856,0.0,390.6667,0.5,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000856,0.0,390.6667,0.5,2.0
